可以啊，不过我要怎么让你看到它们呢？	你在哪里啊?我在郫县这边,你呢?	是的，但是我怎样才能让你看到它们呢？	我在犀浦,你在哪儿呢?	1
我是程序员，我的智商是250。	你这智商250,我这智商负250	你知道程序员的智商是多少吗？	不知道,但是你不是250	1
我啊，我喜欢听，我喜欢听周杰伦的歌。	我也喜欢,不过他结婚了,唉,	你知道我喜欢听谁的歌吗？	不知道啊,谁?	2
你多久打一次？	一个星期打三次	你多久打一次电话？	一天一次,一次半小时	3
好吧，你是哪里人呀？	我是大河南的	你是哪里人？	哦,我是山东的	1
我是负责帮顾客推荐房子的，每天都要在门口站一天迎接顾客。	你在哪里卖房子?	你知道一周有多少天我必须站在门口迎接顾客吗？	不知道,我又不卖房子,我想去买房子而已,你卖什么类型的房子	3
那你是要换工作吗？	想,但不知道要换什么样的	你打算换工作吗？	我是不太想换工作的	2
我最喜欢的乐队是五月天，我觉得他们都特别有才华。	我的男神也喜欢五月天的说,	你知道我最喜欢的乐队是什么吗？	不知道唉,	2
是的，你们青岛那边是不是好多地方都可以钓鱼？	我是青岛的,在青岛工作,在家里不好钓,水库都有人看着	你是哪里人？	我是河北沧州的	1
我今年16岁。	你是想说我老了吗	你知道我16岁是什么时候吗？	不知道啊,难道是去年?	3
那平常是不是有很多人去你的录音室录歌吗？	不多,都是学生,都有自己的私人时间	很多人经常去你的录音室录歌吗？	嗯,有很多,但都是我的朋友	3
我不太喜欢运动，我最喜欢唱歌，我最喜欢的乐队是滚石乐队。	不喜欢运动的人都瘦	你知道我最喜欢的乐队是什么吗？	不知道,我喜欢的是五月天的温柔	2
是的，所以不要过分的贬低自己，那你是做什么的呢？	我是做护肤品的,你呢?	是的，所以不要太轻视自己。你是做什么的？	我做的服装	1
哦，你还是一个学生呀？	是的,我是学生	哦，你还是一个学习者呀？	学习者?怎么可能	1
我是广东的，现在住在西二旗。	西二旗在哪	你知道我住在哪里吗？	不知道啊,所以问你在哪啊	1
是吗，那你多大了啊？	22岁了,你呢?	真正地你多大了？	我比你大,24了	1
我很喜欢周末去看电影，你喜欢看什么综艺？	跑男,极限挑战	我很喜欢周末去看电影，你厌烦看什么综艺？	极限挑战,还有跑男	2
这个确实是很有意义，你常去做志愿者吗？	不是,这次是第一次,以后会常去的	你第一次去那里是什么时候？	去年十一月份吧	3
我是河南的，现在住在上海。	上海哪里,我在浦东新区这边,有时间可以一起出来玩啊	你知道我是哪里人吗？	不知道,河南的吗	1
可以呀，你现在工作不忙吗？	不忙,我辞职了,你还在北京呢?	你还在哪里？	我在北京呢,还没辞职呢	3
我不去健身房，我还是喜欢骑自行车还有晨跑，周末跟朋友去爬山，要不要一起啊。	我喜欢晚上去健身,早上起不来	你知道我什么时候和朋友去远足吗？	不知道啊,什么时候	3
那就好，你做的什么工作？	做过很多,现在在一家公司做采购	那很好。你是做什么的？	我是做销售的,不过之前也做过采购	1
我还没呢，你吃饭了吗？	还没,我也没吃	我没有，你吃过了吗？	吃了,都快睡了	3
我喜欢端午节，我和男朋友是在端午节认识的。	你男朋友和我一天生日	你知道我喜欢什么吗？	不知道,你说吧?	2
是呀，你也是学生呀？	对啊,在成都上学呢,你呢	你在哪里上学？	我在河南洛阳	1
30了，你一定还小吧？	不小了,25了	你一定很年轻吧？	嗯,还很年轻,我都24了	1
那你最近可要注意一点啦，吃过药了吗？	吃药了,今天感觉好多了	你什么时候感觉好些？	昨天就好很多了	3
可是我还是想上学，我才16岁就要出去找工作。	我也想去学校,但我妈不让	我多大了？	我不知道,你自己告诉我	1
你经常去健身房吗？	以前经常,现在不怎么去了	你经常来健身房吗？	不经常去,我一般自己在家练	3
我现在在乐队是一名吉他手，你呢，是做什么工作的？	我是卖辣条的	我现在在乐队是一名吉他手，你呢，是做什么劳作的？	我是搬砖的啊	1
我是广东的，现在住在西二旗。	西二旗在哪	你知道我住在哪里吗？	不知道,我是路痴	1
我比较喜欢自己一个人看书，《绿山墙的安妮》这本书我已经看了五遍了。	看了一遍,觉得太难懂了,看不懂	你知道我读了五遍谁的书吗？	不造,是三毛的?	3
我还没有毕业呢，我才19岁呢。	我也还没毕业,不过我大三了	你知道我多大了吗？	不知道,你说嘛	1
